Rank,NOC,Gold,Silver,Bronze,Total,Year
1,USA,11,7,2,20,1896
4,FRA,5,4,2,11,1896
8,AUS,2,0,0,2,1896
1,FRA,27,39,37,103,1900
2,USA,19,14,15,48,1900
9,AUS,2,0,3,5,1900
1,USA,76,78,77,231,1904
12,AUS,0,3,1,4,1904
13,FRA,0,1,0,1,1904
2,USA,23,12,12,47,1908
4,FRA,5,5,9,19,1908
1,USA,26,19,19,64,1912
5,FRA,7,4,3,14,1912
1,USA,41,27,27,95,1920
8,FRA,9,19,13,41,1920
16,AUS,0,2,1,3,1920
17,JPN,0,2,0,2,1920
1,USA,45,27,27,99,1924
3,FRA,13,15,10,38,1924
11,AUS,3,1,2,6,1924
23,JPN,0,0,1,1,1924
1,USA,22,18,16,56,1928
7,FRA,6,10,5,21,1928
15,JPN,2,2,1,5,1928
19,AUS,1,2,1,4,1928
2,USA,24,21,12,57,1936
6,FRA,7,6,6,19,1936
8,JPN,6,4,10,20,1936
30,AUS,0,0,1,1,1936
1,USA,38,27,19,84,1948
3,FRA,10,6,13,29,1948
14,AUS,2,6,5,13,1948
1,USA,40,19,17,76,1952
7,FRA,6,6,6,18,1952
9,AUS,6,2,3,11,1952
17,JPN,1,6,2,9,1952
2,USA,32,25,17,74,1956
3,AUS,13,8,14,35,1956
10,JPN,4,10,5,19,1956
11,FRA,4,4,6,14,1956
1,USA,36,26,28,90,1964
3,JPN,16,5,8,29,1964
8,AUS,6,2,10,18,1964
21,FRA,1,8,6,15,1964
1,USA,45,28,34,107,1968
3,JPN,11,7,7,25,1968
6,FRA,7,3,5,15,1968
9,AUS,5,7,5,17,1968
2,USA,33,31,30,94,1972
5,JPN,13,8,8,29,1972
6,AUS,8,7,2,17,1972
17,FRA,2,4,7,13,1972
3,USA,34,35,25,94,1976
5,JPN,9,6,10,25,1976
15,FRA,2,3,4,9,1976
32,AUS,0,1,4,5,1976
8,FRA,6,5,3,14,1980
15,AUS,2,2,5,9,1980
1,USA,83,61,30,174,1984
4,CHN,15,8,9,32,1984
7,JPN,10,8,14,32,1984
12,FRA,5,7,16,28,1984
14,AUS,4,8,12,24,1984
3,USA,36,31,27,94,1988
9,FRA,6,4,6,16,1988
11,CHN,5,11,12,28,1988
14,JPN,4,3,7,14,1988
15,AUS,3,6,5,14,1988
2,USA,37,34,37,108,1992
4,CHN,16,22,16,54,1992
9,FRA,8,5,16,29,1992
10,AUS,7,9,11,27,1992
17,JPN,3,8,11,22,1992
1,USA,44,32,25,101,1996
4,CHN,16,22,12,50,1996
5,FRA,15,7,15,37,1996
7,AUS,9,9,23,41,1996
23,JPN,3,6,5,14,1996
1,USA,37,24,32,93,2000
3,CHN,28,16,14,58,2000
4,AUS,16,25,17,58,2000
6,FRA,13,14,11,38,2000
15,JPN,5,8,5,18,2000
1,USA,36,39,26,101,2004
2,CHN,32,17,14,63,2004
4,AUS,17,16,17,50,2004
5,JPN,16,9,12,37,2004
7,FRA,11,9,13,33,2004
1,CHN,48,22,30,100,2008
2,USA,36,39,37,112,2008
6,AUS,14,15,17,46,2008
8,JPN,9,8,8,25,2008
10,FRA,7,16,20,43,2008
1,USA,48,26,30,104,2012
2,CHN,39,31,22,92,2012
7,FRA,11,11,13,35,2012
8,AUS,8,15,12,35,2012
11,JPN,7,14,17,38,2012
1,USA,46,37,38,121,2016
3,CHN,26,18,26,70,2016
6,JPN,12,8,21,41,2016
7,FRA,10,18,14,42,2016
10,AUS,8,11,10,29,2016
1,USA,39,41,33,113,2020
2,CHN,38,32,19,89,2020
3,JPN,27,14,17,58,2020
6,AUS,17,7,22,46,2020
8,FRA,10,12,11,33,2020
1,USA,40,44,42,126,2024
2,CHN,40,27,24,91,2024
3,JPN,20,12,13,45,2024
4,AUS,18,19,16,53,2024
5,FRA,16,26,22,64,2024
