NOC,Gold,Silver,Bronze,Total,Year,#Athletes,#Events,IsHost
AUS,2,0,0,2,1896,5,5,0
AUS,2,0,3,5,1900,6,6,0
AUS,0,3,1,4,1904,6,6,0
AUS,0,2,1,3,1920,29,19,0
AUS,3,1,2,6,1924,60,31,0
AUS,1,2,1,4,1928,29,26,0
AUS,0,0,1,1,1936,39,26,0
AUS,2,6,5,13,1948,103,52,0
AUS,6,2,3,11,1952,140,67,0
AUS,13,8,14,35,1956,412,143,1
AUS,6,2,10,18,1964,392,133,0
AUS,5,7,5,17,1968,224,105,0
AUS,8,7,2,17,1972,266,110,0
AUS,0,1,4,5,1976,274,115,0
AUS,2,2,5,9,1980,190,92,0
AUS,4,8,12,24,1984,337,137,0
AUS,3,6,5,14,1988,339,145,0
AUS,7,9,11,27,1992,390,153,0
AUS,9,9,23,41,1996,550,211,0
AUS,16,25,17,58,2000,788,270,1
AUS,17,16,17,50,2004,601,219,0
AUS,14,15,17,46,2008,570,219,0
AUS,8,15,12,35,2012,514,208,0
AUS,8,11,10,29,2016,518,194,0
AUS,17,7,22,46,2020,638,193,0
AUS,18,19,16,53,2024,649,205,0
CHN,15,8,9,32,1984,323,105,0
CHN,5,11,12,28,1988,427,150,0
CHN,16,22,16,54,1992,394,144,0
CHN,16,22,12,50,1996,438,155,0
CHN,28,16,14,58,2000,414,163,0
CHN,32,17,14,63,2004,518,204,0
CHN,48,22,30,100,2008,730,257,1
CHN,39,31,22,92,2012,479,206,0
CHN,26,18,26,70,2016,499,209,0
CHN,38,32,19,89,2020,574,210,0
CHN,40,27,24,91,2024,587,211,0
FRA,5,4,2,11,1896,26,18,0
FRA,27,39,37,103,1900,1071,81,1
FRA,0,1,0,1,1904,2,2,0
FRA,5,5,9,19,1908,319,54,0
FRA,7,4,3,14,1912,232,66,0
FRA,9,19,13,41,1920,452,113,0
FRA,13,15,10,38,1924,636,128,1
FRA,6,10,5,21,1928,422,112,0
FRA,7,6,6,19,1936,303,100,0
FRA,10,6,13,29,1948,433,135,0
FRA,6,6,6,18,1952,408,131,0
FRA,4,4,6,14,1956,227,101,0
FRA,1,8,6,15,1964,214,89,0
FRA,7,3,5,15,1968,311,107,1
FRA,2,4,7,13,1972,356,132,0
FRA,2,3,4,9,1976,302,128,0
FRA,6,5,3,14,1980,200,85,0
FRA,5,7,16,28,1984,354,139,0
FRA,6,4,6,16,1988,413,167,0
FRA,8,5,16,29,1992,486,196,1
FRA,15,7,15,37,1996,453,183,0
FRA,13,14,11,38,2000,470,196,0
FRA,11,9,13,33,2004,461,193,0
FRA,7,16,20,43,2008,448,205,0
FRA,11,11,13,35,2012,426,188,0
FRA,10,18,14,42,2016,512,202,0
FRA,10,12,11,33,2020,538,194,0
FRA,16,26,22,64,2024,801,223,0
JPN,0,2,0,2,1920,26,15,0
JPN,0,0,1,1,1924,37,21,0
JPN,2,2,1,5,1928,56,31,0
JPN,6,4,10,20,1936,325,79,0
JPN,1,6,2,9,1952,133,60,0
JPN,4,10,5,19,1956,222,72,0
JPN,16,5,8,29,1964,456,155,1
JPN,11,7,7,25,1968,289,97,0
JPN,13,8,8,29,1972,293,113,0
JPN,9,6,10,25,1976,328,119,0
JPN,10,8,14,32,1984,365,147,0
JPN,4,3,7,14,1988,412,166,0
JPN,3,8,11,22,1992,392,166,0
JPN,3,6,5,14,1996,448,168,0
JPN,5,8,5,18,2000,363,156,0
JPN,16,9,12,37,2004,414,169,0
JPN,9,8,8,25,2008,457,176,0
JPN,7,14,17,38,2012,399,178,0
JPN,12,8,21,41,2016,436,186,0
JPN,27,14,17,58,2020,787,222,1
JPN,20,12,13,45,2024,598,166,0
USA,11,7,2,20,1896,27,16,0
USA,19,14,15,48,1900,135,41,0
USA,76,78,77,231,1904,1109,95,1
USA,23,12,12,47,1908,219,52,0
USA,26,19,19,64,1912,364,68,0
USA,41,27,27,95,1920,473,113,0
USA,45,27,27,99,1924,459,108,0
USA,22,18,16,56,1928,426,96,0
USA,24,21,12,57,1936,487,127,0
USA,38,27,19,84,1948,424,126,0
USA,40,19,17,76,1952,451,133,0
USA,32,25,17,74,1956,443,144,0
USA,36,26,28,90,1964,492,159,0
USA,45,28,34,107,1968,529,167,0
USA,33,31,30,94,1972,578,185,0
USA,34,35,25,94,1976,554,189,0
USA,83,61,30,174,1984,693,217,1
USA,36,31,27,94,1988,715,230,0
USA,37,34,37,108,1992,734,248,0
USA,44,32,25,101,1996,839,263,1
USA,37,24,32,93,2000,764,265,0
USA,36,39,26,101,2004,726,254,0
USA,36,39,37,112,2008,763,258,0
USA,48,26,30,104,2012,689,245,0
USA,46,37,38,121,2016,719,245,0
USA,39,41,33,113,2020,856,245,0
USA,40,44,42,126,2024,854,234,0
