NOC,Gold,Silver,Bronze,Total,Year,X.Athletes,X.Events,IsHost,Country_id,Year_id
AUS,2,6,5,13,1948,103,52,0,4,14.0
AUS,6,2,3,11,1952,140,67,0,4,15.0
AUS,13,8,14,35,1956,412,143,1,4,16.0
AUS,6,2,10,18,1964,392,133,0,4,18.0
AUS,5,7,5,17,1968,224,105,0,4,19.0
AUS,8,7,2,17,1972,266,110,0,4,20.0
AUS,0,1,4,5,1976,274,115,0,4,21.0
AUS,2,2,5,9,1980,190,92,0,4,22.0
AUS,4,8,12,24,1984,337,137,0,4,23.0
AUS,3,6,5,14,1988,339,145,0,4,24.0
AUS,7,9,11,27,1992,390,153,0,4,25.0
AUS,9,9,23,41,1996,550,211,0,4,26.0
AUS,16,25,17,58,2000,788,270,1,4,27.0
AUS,17,16,17,50,2004,601,219,0,4,28.0
AUS,14,15,17,46,2008,570,219,0,4,29.0
AUS,8,15,12,35,2012,514,208,0,4,30.0
AUS,8,11,10,29,2016,518,194,0,4,31.0
AUS,17,7,22,46,2020,638,193,0,4,32.0
AUS,18,19,16,53,2024,649,205,0,4,33.0
CHN,15,8,9,32,1984,323,105,0,2,23.0
CHN,5,11,12,28,1988,427,150,0,2,24.0
CHN,16,22,16,54,1992,394,144,0,2,25.0
CHN,16,22,12,50,1996,438,155,0,2,26.0
CHN,28,16,14,58,2000,414,163,0,2,27.0
CHN,32,17,14,63,2004,518,204,0,2,28.0
CHN,48,22,30,100,2008,730,257,1,2,29.0
CHN,39,31,22,92,2012,479,206,0,2,30.0
CHN,26,18,26,70,2016,499,209,0,2,31.0
CHN,38,32,19,89,2020,574,210,0,2,32.0
CHN,40,27,24,91,2024,587,211,0,2,33.0
FRA,10,6,13,29,1948,433,135,0,5,14.0
FRA,6,6,6,18,1952,408,131,0,5,15.0
FRA,4,4,6,14,1956,227,101,0,5,16.0
FRA,1,8,6,15,1964,214,89,0,5,18.0
FRA,7,3,5,15,1968,311,107,1,5,19.0
FRA,2,4,7,13,1972,356,132,0,5,20.0
FRA,2,3,4,9,1976,302,128,0,5,21.0
FRA,6,5,3,14,1980,200,85,0,5,22.0
FRA,5,7,16,28,1984,354,139,0,5,23.0
FRA,6,4,6,16,1988,413,167,0,5,24.0
FRA,8,5,16,29,1992,486,196,1,5,25.0
FRA,15,7,15,37,1996,453,183,0,5,26.0
FRA,13,14,11,38,2000,470,196,0,5,27.0
FRA,11,9,13,33,2004,461,193,0,5,28.0
FRA,7,16,20,43,2008,448,205,0,5,29.0
FRA,11,11,13,35,2012,426,188,0,5,30.0
FRA,10,18,14,42,2016,512,202,0,5,31.0
FRA,10,12,11,33,2020,538,194,0,5,32.0
FRA,16,26,22,64,2024,801,223,1,5,33.0
JPN,1,6,2,9,1952,133,60,0,3,15.0
JPN,4,10,5,19,1956,222,72,0,3,16.0
JPN,16,5,8,29,1964,456,155,1,3,18.0
JPN,11,7,7,25,1968,289,97,0,3,19.0
JPN,13,8,8,29,1972,293,113,0,3,20.0
JPN,9,6,10,25,1976,328,119,0,3,21.0
JPN,10,8,14,32,1984,365,147,0,3,23.0
JPN,4,3,7,14,1988,412,166,0,3,24.0
JPN,3,8,11,22,1992,392,166,0,3,25.0
JPN,3,6,5,14,1996,448,168,0,3,26.0
JPN,5,8,5,18,2000,363,156,0,3,27.0
JPN,16,9,12,37,2004,414,169,0,3,28.0
JPN,9,8,8,25,2008,457,176,0,3,29.0
JPN,7,14,17,38,2012,399,178,0,3,30.0
JPN,12,8,21,41,2016,436,186,0,3,31.0
JPN,27,14,17,58,2020,787,222,1,3,32.0
JPN,20,12,13,45,2024,598,166,0,3,33.0
USA,38,27,19,84,1948,424,126,0,1,14.0
USA,40,19,17,76,1952,451,133,0,1,15.0
USA,32,25,17,74,1956,443,144,0,1,16.0
USA,36,26,28,90,1964,492,159,0,1,18.0
USA,45,28,34,107,1968,529,167,0,1,19.0
USA,33,31,30,94,1972,578,185,0,1,20.0
USA,34,35,25,94,1976,554,189,0,1,21.0
USA,83,61,30,174,1984,693,217,1,1,23.0
USA,36,31,27,94,1988,715,230,0,1,24.0
USA,37,34,37,108,1992,734,248,0,1,25.0
USA,44,32,25,101,1996,839,263,1,1,26.0
USA,37,24,32,93,2000,764,265,0,1,27.0
USA,36,39,26,101,2004,726,254,0,1,28.0
USA,36,39,37,112,2008,763,258,0,1,29.0
USA,48,26,30,104,2012,689,245,0,1,30.0
USA,46,37,38,121,2016,719,245,0,1,31.0
USA,39,41,33,113,2020,856,245,0,1,32.0
USA,40,44,42,126,2024,854,234,0,1,33.0
